repo_id,repo_type,level,file_count,total_size,total_size_str
deepghs/eshuushuu_index,dataset,t1.1,4,141390514,141 MB
deepghs/tsundora_index,dataset,t1.1,4,12767702,12.8 MB
deepghs/i-love-anime-sakuga_index,dataset,t1.1,1,2461,2.46 kB
deepghs/cosplayrule34_index,dataset,t1.1,5,28799832,28.8 MB
deepghs/idolsankaku_index,dataset,t1.1,548,952628098460,953 GB
deepghs/iwara_index,dataset,t1.1,4,113752767,114 MB
deepghs/danbooru_translated_index,dataset,t1.1,3,291848752,292 MB
deepghs/danbooru_notext_index,dataset,t1.1,3,70062227,70.1 MB
deepghs/danbooru_translated_langs_index,dataset,t1.1,3,7907666,7.91 MB
deepghs/anime_pictures_index,dataset,t1.1,4,277353794,277 MB
deepghs/danbooru_encomic_index,dataset,t1.1,3,21108123,21.1 MB
deepghs/danbooru_en_noncomic_index,dataset,t1.1,3,124379169,124 MB
deepghs/e6ai_index,dataset,t1.1,7,44932477,44.9 MB
deepghs/khinsider_ost_index,dataset,t1.1,4,85600992,85.6 MB
deepghs/khinsider_index,dataset,t1.1,4,294500526,295 MB
deepghs/khinsider_instrumental_index,dataset,t1.1,4,2819973,2.82 MB
deepghs/xiuren_index,dataset,t1.1,4,30672619,30.7 MB
deepghs/pornpics_index,dataset,t1.1,14,907048584,907 MB
deepghs/bangumibase_index,dataset,t1.1,4,975190677,975 MB
deepghs/nijicollage_index,dataset,t1.1,4,5624348,5.62 MB
deepghs/imhentai_index,dataset,t1.1,11,1917043147,1.92 GB
deepghs/nhentai_index,dataset,t1.1,5,553086028,553 MB
deepghs/danbooru_artists_index,dataset,t1.1,5,87027795,87 MB
deepghs/timms_index,dataset,t1.1,3,149894,150 kB
deepghs/aplaybox_index,dataset,t1.1,5,23546152,23.5 MB
deepghs/bowlroll_mmd_index,dataset,t1.1,3,12701720,12.7 MB
deepghs/pexels_index,dataset,t1.1,6,2786876185,2.79 GB
deepghs/asiaon_index,dataset,t1.1,5,16452438,16.5 MB
T1.1,,,9226,1072189172044,0.975 TB
,,,,,
deepghs/subsplease_animes,dataset,t1.2,1901,146758698,147 MB
deepghs/game_characters,dataset,t1.2,209,30348513,30.3 MB
deepghs/game_character_skins,dataset,t1.2,15949,16404440798,16.4 GB
deepghs/nsfw_detect,dataset,t1.2,3,1800924368,1.8 GB
deepghs/site_tags,dataset,t1.2,106,5227479274,5.23 GB
deepghs/generic_character_ds,dataset,t1.2,3,72938143,72.9 MB
deepghs/anime_regular_dataset,dataset,t1.2,3,702561926,703 MB
deepghs/reg_experiment,dataset,t1.2,13,25999768937,26 GB
deepghs/waifuc_unittest,dataset,t1.2,100,1879388534,1.88 GB
deepghs/pyanimeinfo_unittest,dataset,t1.2,27,7010911,7.01 MB
deepghs/tagger_vocabs,dataset,t1.2,11,26886713,26.9 MB
deepghs/csip,dataset,t1.2,15,113419216952,113 GB
deepghs/csip_eval,dataset,t1.2,4,1964724303,1.96 GB
deepghs/csip_v1,dataset,t1.2,11,70949966359,70.9 GB
deepghs/tags_meta,dataset,t1.2,15,39883464,39.9 MB
deepghs/danbooru_wikis_full,dataset,t1.2,7,569243566,569 MB
deepghs/hfcache_test_target_repo,dataset,t1.2,5,85758501,85.8 MB
deepghs/fancaps_animes,dataset,t1.2,219,20707646,20.7 MB
deepghs/public_unittest_repo,dataset,t1.2,14,867138,867 kB
deepghs/test_nested_dataset,dataset,t1.2,31,50466303,50.5 MB
deepghs/mal_characters,dataset,t1.2,1,2503,2.5 kB
deepghs/soundutils_unittest,dataset,t1.2,91,77923702,77.9 MB
deepghs/arknights_voices_kr,dataset,t1.2,5,7371394717,7.37 GB
deepghs/arknights_voices_zh,dataset,t1.2,5,8247958593,8.25 GB
deepghs/arknights_voices_jp,dataset,t1.2,5,8389850985,8.39 GB
deepghs/arknights_voices_en,dataset,t1.2,5,5130155605,5.13 GB
